number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
39,0.8141794280465582,2026-03-29 19:00:25.689479,2026-03-29 19:00:25.961580,0 days 00:00:00.272101,0.7889560010903511,0.06156559321261488,4,142,0.754652318458957,COMPLETE
40,0.8039310811411415,2026-03-29 19:00:25.961856,2026-03-29 19:00:26.157017,0 days 00:00:00.195161,0.7706255455664098,0.037108999468277275,3,125,0.9558725640734633,COMPLETE
41,0.8139029822369492,2026-03-29 19:00:26.157281,2026-03-29 19:00:26.411510,0 days 00:00:00.254229,0.7556754173554575,0.055438281909145216,5,113,0.7494478610119302,COMPLETE
42,0.8140970572694187,2026-03-29 19:00:26.411773,2026-03-29 19:00:26.631709,0 days 00:00:00.219936,0.8243293577361902,0.05102096735634529,5,100,0.728778133415751,COMPLETE
43,0.8148953821994183,2026-03-29 19:00:26.631998,2026-03-29 19:00:26.878310,0 days 00:00:00.246312,0.719529028604995,0.05866199423852484,5,112,0.7142568364407862,COMPLETE
44,0.8143806142252553,2026-03-29 19:00:26.878576,2026-03-29 19:00:27.131319,0 days 00:00:00.252743,0.839804391955152,0.06895046419369144,4,129,0.7030573750073343,COMPLETE
45,0.8132284110044987,2026-03-29 19:00:27.131587,2026-03-29 19:00:27.381095,0 days 00:00:00.249508,0.8655217828623574,0.08967863585456988,5,108,0.7642635342822078,COMPLETE
46,0.8139305379285824,2026-03-29 19:00:27.381365,2026-03-29 19:00:27.691003,0 days 00:00:00.309638,0.886094535875464,0.07747636396638057,6,118,0.8005381457878193,COMPLETE
47,0.8141733045595287,2026-03-29 19:00:27.691259,2026-03-29 19:00:28.274667,0 days 00:00:00.583408,0.7097246736263352,0.05387922929564395,5,264,0.7476657572854001,COMPLETE
48,0.8139352786927343,2026-03-29 19:00:28.274925,2026-03-29 19:00:28.813116,0 days 00:00:00.538191,0.999485075849801,0.016118526893064995,6,209,0.8647775898253266,COMPLETE
49,0.8144081699168884,2026-03-29 19:00:28.813374,2026-03-29 19:00:29.128003,0 days 00:00:00.314629,0.7574709881474048,0.06573743325384726,4,160,0.7322147733817357,COMPLETE
50,0.8099394071081832,2026-03-29 19:00:29.128276,2026-03-29 19:00:29.590670,0 days 00:00:00.462394,0.7322054060606664,0.09361928807027418,6,182,0.8273385541287454,COMPLETE
51,0.8155719287502654,2026-03-29 19:00:29.590966,2026-03-29 19:00:29.858710,0 days 00:00:00.267744,0.8702107320456508,0.07234723233513198,6,101,0.7381811957960884,COMPLETE
52,0.8159368688240436,2026-03-29 19:00:29.858976,2026-03-29 19:00:30.107946,0 days 00:00:00.248970,0.9045951462993419,0.07134500294612359,6,107,0.7255565150637276,COMPLETE
53,0.8144275280371757,2026-03-29 19:00:30.108222,2026-03-29 19:00:30.367052,0 days 00:00:00.258830,0.9185969065698341,0.07180447944074272,6,105,0.7134150370595724,COMPLETE
54,0.8138529079155947,2026-03-29 19:00:30.367328,2026-03-29 19:00:30.727108,0 days 00:00:00.359780,0.9045623297227336,0.07517156832722126,6,137,0.7300684330227535,COMPLETE
55,0.8149723208509672,2026-03-29 19:00:30.727360,2026-03-29 19:00:31.050979,0 days 00:00:00.323619,0.9521740869023483,0.06067439188047417,6,124,0.7703417500395968,COMPLETE
56,0.8142026380377186,2026-03-29 19:00:31.051241,2026-03-29 19:00:31.305111,0 days 00:00:00.253870,0.8847559541109742,0.08701164641541008,5,111,0.7899199227629541,COMPLETE
57,0.8131746823441104,2026-03-29 19:00:31.305385,2026-03-29 19:00:31.926791,0 days 00:00:00.621406,0.8473053875902712,0.04751226128766437,6,240,0.711159940837704,COMPLETE
58,0.8143324164563777,2026-03-29 19:00:31.927044,2026-03-29 19:00:32.180079,0 days 00:00:00.253035,0.8710670986479453,0.09983668714677262,5,100,0.7427919893593353,COMPLETE
59,0.8132370036395241,2026-03-29 19:00:32.180348,2026-03-29 19:00:32.553651,0 days 00:00:00.373303,0.9005570320201843,0.06897431917320945,6,144,0.7528562406786948,COMPLETE
60,0.8146399735307336,2026-03-29 19:00:32.553915,2026-03-29 19:00:32.839771,0 days 00:00:00.285856,0.9449863696071155,0.07518698123066789,5,119,0.7344802081115384,COMPLETE
61,0.8146373068508981,2026-03-29 19:00:32.840028,2026-03-29 19:00:33.190076,0 days 00:00:00.350048,0.8327162888823392,0.06142233663554764,6,124,0.77321409802767,COMPLETE
62,0.8155008172879867,2026-03-29 19:00:33.190355,2026-03-29 19:00:33.478142,0 days 00:00:00.287787,0.9675476319981425,0.05763177710592867,6,107,0.7248376219013458,COMPLETE
63,0.8150417532926089,2026-03-29 19:00:33.478414,2026-03-29 19:00:33.784541,0 days 00:00:00.306127,0.9663638480013513,0.05737426624478332,6,106,0.7199272330102695,COMPLETE
64,0.8146152820507756,2026-03-29 19:00:33.784817,2026-03-29 19:00:34.106906,0 days 00:00:00.322089,0.8150474825784885,0.05263334201227753,6,113,0.7002963453520924,COMPLETE
65,0.8157060528693969,2026-03-29 19:00:34.107180,2026-03-29 19:00:34.380715,0 days 00:00:00.273535,0.9791645720253433,0.06566116313816087,6,105,0.723425221780734,COMPLETE
66,0.8149175057654606,2026-03-29 19:00:34.380985,2026-03-29 19:00:34.725234,0 days 00:00:00.344249,0.9848118005544939,0.06614359757524099,6,134,0.7594186240087705,COMPLETE
67,0.8138009570417633,2026-03-29 19:00:34.725501,2026-03-29 19:00:35.009157,0 days 00:00:00.283656,0.9741491360293189,0.030506410210943982,6,108,0.7452723279030384,COMPLETE
68,0.8136870799361973,2026-03-29 19:00:35.009429,2026-03-29 19:00:35.401092,0 days 00:00:00.391663,0.944366049570546,0.08179722453210604,6,149,0.7284526495517277,COMPLETE
69,0.8143443671326771,2026-03-29 19:00:35.401352,2026-03-29 19:00:35.699125,0 days 00:00:00.297773,0.9793473602822009,0.045826224344544544,6,116,0.9098325000826757,COMPLETE
70,0.8143266880330273,2026-03-29 19:00:35.699416,2026-03-29 19:00:36.006767,0 days 00:00:00.307351,0.9317927706139446,0.07118850686608771,6,120,0.7091526139123315,COMPLETE
71,0.8156534106341267,2026-03-29 19:00:36.007059,2026-03-29 19:00:36.265325,0 days 00:00:00.258266,0.7979586291626829,0.064389453632663,6,100,0.7242847051553005,COMPLETE
72,0.8148461967713421,2026-03-29 19:00:36.265599,2026-03-29 19:00:36.539357,0 days 00:00:00.273758,0.7817705733382639,0.0651666113086645,6,106,0.7401969829237954,COMPLETE
73,0.8148545918745278,2026-03-29 19:00:36.539622,2026-03-29 19:00:36.810026,0 days 00:00:00.270404,0.9949931260470319,0.05716238846504911,6,105,0.7243335560343117,COMPLETE
74,0.8124476664082292,2026-03-29 19:00:36.810292,2026-03-29 19:00:37.022685,0 days 00:00:00.212393,0.8611202562889358,0.07745223586861166,3,129,0.7352363272157769,COMPLETE
75,0.8144394787134751,2026-03-29 19:00:37.022952,2026-03-29 19:00:37.317002,0 days 00:00:00.294050,0.7992095174112557,0.050451375136028646,6,114,0.7107375460134415,COMPLETE
76,0.8143925649015551,2026-03-29 19:00:37.317267,2026-03-29 19:00:37.575950,0 days 00:00:00.258683,0.911023136702567,0.0921785519873438,6,100,0.9978397176218621,COMPLETE
77,0.8084045847139987,2026-03-29 19:00:37.576224,2026-03-29 19:00:38.330641,0 days 00:00:00.754417,0.7988973463571633,0.0831645889439921,6,300,0.7195592254865706,COMPLETE
78,0.8148306905219286,2026-03-29 19:00:38.330906,2026-03-29 19:00:38.643516,0 days 00:00:00.312610,0.9625366975901194,0.07199306009218182,6,122,0.7554571007441239,COMPLETE
79,0.8149591849836296,2026-03-29 19:00:38.643790,2026-03-29 19:00:38.923943,0 days 00:00:00.280153,0.7680750608731621,0.06600521570483327,6,109,0.7080739252471662,COMPLETE
80,0.8142374036414995,2026-03-29 19:00:38.924222,2026-03-29 19:00:39.224084,0 days 00:00:00.299862,0.8889875983090384,0.05647724501319787,6,116,0.7857805354171188,COMPLETE
81,0.8148791845885659,2026-03-29 19:00:39.224350,2026-03-29 19:00:39.455130,0 days 00:00:00.230780,0.8435781922200758,0.06287430251741226,5,102,0.7235960298036058,COMPLETE
82,0.8147408135348817,2026-03-29 19:00:39.455396,2026-03-29 19:00:39.700728,0 days 00:00:00.245332,0.8224941981093898,0.061861818204844175,5,109,0.7376110652175302,COMPLETE
83,0.8145324174440368,2026-03-29 19:00:39.700990,2026-03-29 19:00:40.019974,0 days 00:00:00.318984,0.8356240686740417,0.05361374211423473,6,126,0.7470005278891395,COMPLETE
84,0.8148219991209833,2026-03-29 19:00:40.020240,2026-03-29 19:00:40.249601,0 days 00:00:00.229361,0.8697873205140029,0.06873008170422705,5,100,0.7170311519454832,COMPLETE
85,0.8149164193403424,2026-03-29 19:00:40.249862,2026-03-29 19:00:40.534972,0 days 00:00:00.285110,0.8552241083308172,0.07701936025171567,6,111,0.7265454265476684,COMPLETE
86,0.8152661494624666,2026-03-29 19:00:40.535225,2026-03-29 19:00:40.770827,0 days 00:00:00.235602,0.8804443616758961,0.05928901614677086,5,104,0.7052003845670078,COMPLETE
